name,time,day,utilization,lon,lat,geometry,Subarea,Shape_Leng,Shape_Area
10th & K St NW,21,6,0.4782608695652174,-77.02622,38.9024,"c(-77.02622, 38.9024)",McPherson Square / Franklin Park,4367.29977514,997250.917853
10th & K St NW,22,4,0.16304347826086957,-77.02622,38.9024,"c(-77.02622, 38.9024)",McPherson Square / Franklin Park,4367.29977514,997250.917853
10th & K St NW,22,6,0.48695652173913045,-77.02622,38.9024,"c(-77.02622, 38.9024)",McPherson Square / Franklin Park,4367.29977514,997250.917853
10th & K St NW,23,4,0.14130434782608695,-77.02622,38.9024,"c(-77.02622, 38.9024)",McPherson Square / Franklin Park,4367.29977514,997250.917853
10th & K St NW,23,6,0.45217391304347826,-77.02622,38.9024,"c(-77.02622, 38.9024)",McPherson Square / Franklin Park,4367.29977514,997250.917853
10th St & Constitution Ave NW,0,4,0.1702127659574468,-77.026013,38.893028,"c(-77.026013, 38.893028)",Federal Triangle,4124.97830635,536497.027513
10th St & Constitution Ave NW,0,6,0.1276595744680851,-77.026013,38.893028,"c(-77.026013, 38.893028)",Federal Triangle,4124.97830635,536497.027513
10th St & Constitution Ave NW,1,4,0.1702127659574468,-77.026013,38.893028,"c(-77.026013, 38.893028)",Federal Triangle,4124.97830635,536497.027513
10th St & Constitution Ave NW,1,6,0.1276595744680851,-77.026013,38.893028,"c(-77.026013, 38.893028)",Federal Triangle,4124.97830635,536497.027513
10th St & Constitution Ave NW,2,4,0.1702127659574468,-77.026013,38.893028,"c(-77.026013, 38.893028)",Federal Triangle,4124.97830635,536497.027513
10th St & Constitution Ave NW,2,6,0.1276595744680851,-77.026013,38.893028,"c(-77.026013, 38.893028)",Federal Triangle,4124.97830635,536497.027513
10th St & Constitution Ave NW,3,4,0.1702127659574468,-77.026013,38.893028,"c(-77.026013, 38.893028)",Federal Triangle,4124.97830635,536497.027513
10th St & Constitution Ave NW,3,6,0.1276595744680851,-77.026013,38.893028,"c(-77.026013, 38.893028)",Federal Triangle,4124.97830635,536497.027513
10th St & Constitution Ave NW,4,4,0.1702127659574468,-77.026013,38.893028,"c(-77.026013, 38.893028)",Federal Triangle,4124.97830635,536497.027513
10th St & Constitution Ave NW,4,6,0.1276595744680851,-77.026013,38.893028,"c(-77.026013, 38.893028)",Federal Triangle,4124.97830635,536497.027513
10th St & Constitution Ave NW,5,4,0.1702127659574468,-77.026013,38.893028,"c(-77.026013, 38.893028)",Federal Triangle,4124.97830635,536497.027513
10th St & Constitution Ave NW,5,6,0.1276595744680851,-77.026013,38.893028,"c(-77.026013, 38.893028)",Federal Triangle,4124.97830635,536497.027513
10th St & Constitution Ave NW,6,4,0.1702127659574468,-77.026013,38.893028,"c(-77.026013, 38.893028)",Federal Triangle,4124.97830635,536497.027513
10th St & Constitution Ave NW,6,6,0.11914893617021277,-77.026013,38.893028,"c(-77.026013, 38.893028)",Federal Triangle,4124.97830635,536497.027513
10th St & Constitution Ave NW,7,4,0.1773049645390071,-77.026013,38.893028,"c(-77.026013, 38.893028)",Federal Triangle,4124.97830635,536497.027513
10th St & Constitution Ave NW,7,6,0.11914893617021277,-77.026013,38.893028,"c(-77.026013, 38.893028)",Federal Triangle,4124.97830635,536497.027513
10th St & Constitution Ave NW,8,4,0.19858156028368795,-77.026013,38.893028,"c(-77.026013, 38.893028)",Federal Triangle,4124.97830635,536497.027513
10th St & Constitution Ave NW,8,6,0.12340425531914893,-77.026013,38.893028,"c(-77.026013, 38.893028)",Federal Triangle,4124.97830635,536497.027513
10th St & Constitution Ave NW,9,4,0.2624113475177305,-77.026013,38.893028,"c(-77.026013, 38.893028)",Federal Triangle,4124.97830635,536497.027513
10th St & Constitution Ave NW,9,6,0.1829787234042553,-77.026013,38.893028,"c(-77.026013, 38.893028)",Federal Triangle,4124.97830635,536497.027513
10th St & Constitution Ave NW,10,4,0.45390070921985815,-77.026013,38.893028,"c(-77.026013, 38.893028)",Federal Triangle,4124.97830635,536497.027513
10th St & Constitution Ave NW,10,6,0.23829787234042554,-77.026013,38.893028,"c(-77.026013, 38.893028)",Federal Triangle,4124.97830635,536497.027513
10th St & Constitution Ave NW,11,4,0.5673758865248226,-77.026013,38.893028,"c(-77.026013, 38.893028)",Federal Triangle,4124.97830635,536497.027513
10th St & Constitution Ave NW,11,6,0.3617021276595745,-77.026013,38.893028,"c(-77.026013, 38.893028)",Federal Triangle,4124.97830635,536497.027513
10th St & Constitution Ave NW,12,4,0.6843971631205674,-77.026013,38.893028,"c(-77.026013, 38.893028)",Federal Triangle,4124.97830635,536497.027513
10th St & Constitution Ave NW,12,6,0.47659574468085103,-77.026013,38.893028,"c(-77.026013, 38.893028)",Federal Triangle,4124.97830635,536497.027513
10th St & Constitution Ave NW,13,4,0.6737588652482269,-77.026013,38.893028,"c(-77.026013, 38.893028)",Federal Triangle,4124.97830635,536497.027513
10th St & Constitution Ave NW,13,6,0.49361702127659574,-77.026013,38.893028,"c(-77.026013, 38.893028)",Federal Triangle,4124.97830635,536497.027513
10th St & Constitution Ave NW,14,4,0.7269503546099291,-77.026013,38.893028,"c(-77.026013, 38.893028)",Federal Triangle,4124.97830635,536497.027513
10th St & Constitution Ave NW,14,6,0.47659574468085103,-77.026013,38.893028,"c(-77.026013, 38.893028)",Federal Triangle,4124.97830635,536497.027513
10th St & Constitution Ave NW,15,4,0.7695035460992907,-77.026013,38.893028,"c(-77.026013, 38.893028)",Federal Triangle,4124.97830635,536497.027513
10th St & Constitution Ave NW,15,6,0.4808510638297872,-77.026013,38.893028,"c(-77.026013, 38.893028)",Federal Triangle,4124.97830635,536497.027513
10th St & Constitution Ave NW,16,4,0.8882978723404256,-77.026013,38.893028,"c(-77.026013, 38.893028)",Federal Triangle,4124.97830635,536497.027513
10th St & Constitution Ave NW,16,6,0.47659574468085103,-77.026013,38.893028,"c(-77.026013, 38.893028)",Federal Triangle,4124.97830635,536497.027513
10th St & Constitution Ave NW,17,4,0.75,-77.026013,38.893028,"c(-77.026013, 38.893028)",Federal Triangle,4124.97830635,536497.027513
10th St & Constitution Ave NW,17,6,0.39574468085106385,-77.026013,38.893028,"c(-77.026013, 38.893028)",Federal Triangle,4124.97830635,536497.027513
